Ticker,Nama,Type,Region
GEMS.JK,Golden Energy Mines Tbk.,Stock,Indonesia
GGRM.JK,Gudang Garam Tbk.,Stock,Indonesia
GGRP.JK,Gunung Raja Paksi Tbk.,Stock,Indonesia
GHON.JK,Gihon Telekomunikasi Indonesia,Stock,Indonesia
GIAA.JK,Garuda Indonesia (Persero) Tbk,Stock,Indonesia
GJTL.JK,Gajah Tunggal Tbk.,Stock,Indonesia
GLOB.JK,Globe Kita Terang Tbk.,Stock,Indonesia
GLVA.JK,Galva Technologies Tbk.,Stock,Indonesia
GMFI.JK,Garuda Maintenance Facility Ae,Stock,Indonesia
GMTD.JK,Gowa Makassar Tourism Developm,Stock,Indonesia
GOLD.JK,Visi Telekomunikasi Infrastruk,Stock,Indonesia
GOLF.JK,Intra Golflink Resorts Tbk.,Stock,Indonesia
GOLL.JK,Golden Plantation Tbk.,Stock,Indonesia
GOOD.JK,Garudafood Putra Putri Jaya Tb,Stock,Indonesia
GOTO.JK,GoTo Gojek Tokopedia Tbk.,Stock,Indonesia
GPRA.JK,Perdana Gapuraprima Tbk.,Stock,Indonesia
GPSO.JK,Geoprima Solusi Tbk.,Stock,Indonesia
GRIA.JK,Ingria Pratama Capitalindo Tbk,Stock,Indonesia
GRPH.JK,Griha Putra Persada Tbk.,Stock,Indonesia
GRPM.JK,Graha Prima Mentari Tbk.,Stock,Indonesia
GSMF.JK,Equity Development Investment,Stock,Indonesia
GTBO.JK,Garda Tujuh Buana Tbk,Stock,Indonesia
GTRA.JK,Grahaprima Suksesmandiri Tbk.,Stock,Indonesia
GTSI.JK,GTS Internasional Tbk.,Stock,Indonesia
GULA.JK,Aman Agrindo Tbk.,Stock,Indonesia
GUNA.JK,Gunanusa Eramandiri Tbk.,Stock,Indonesia
GWSA.JK,Greenwood Sejahtera Tbk.,Stock,Indonesia
GZCO.JK,Gozco Plantations Tbk.,Stock,Indonesia
HADE.JK,Himalaya Energi Perkasa Tbk.,Stock,Indonesia
